pid,order,file_name,label,location,_date,month_str,year,type,notes,teams,game_info,player_info,inventoried
SB_News_Times_July_10_1914,97,SB_News_Times_July_10_1914.jpg,South Bend News Times,"South Bend, Indiana, US",10/07/1914,July,1914,JPG,,,,,n
SB_News_Times_July_10_1914,98,SB_News_Times_July_10_1914.jpg,South Bend News Times,"South Bend, Indiana, US",10/07/1914,July,1914,JPG,,,,,n
SB_News_Times_July_11_1913,99,SB_News_Times_July_11_1913.jpg,South Bend News Times,"South Bend, Indiana, US",11/07/1913,July,1913,JPG,"Includes standings of league, other scheduled games. Also mentions games played at Singer Park, Springbrook Park and Mishawaka Park. An ad for these games calls it the ""Manufacturers' League"". Article also mentions some rules put in place where players must be employed at least 30 days at their factory before being eligible to play. Maybe a rule put in place to prevent excessive movement of players? It also mentions a ""president of the league.""","Singers, Studebakers, Ball Bands, Dodges, Watch Co., Plow Co.",n,n,y
SB_News_Times_July_11_1913,100,SB_News_Times_July_11_1913.jpg,South Bend News Times,"South Bend, Indiana, US",11/07/1913,July,1913,JPG,,,,,n
SB_News_Times_July_11_1913,101,SB_News_Times_July_11_1913.jpg,South Bend News Times,"South Bend, Indiana, US",11/07/1913,July,1913,JPG,,,,,n
SB_News_Times_July_14_1914,102,SB_News_Times_July_14_1914.jpg,South Bend News Times,"South Bend, Indiana, US",14/07/1914,July,1914,JPG,,,,,n
SB_News_Times_July_14_1914,103,SB_News_Times_July_14_1914.jpg,South Bend News Times,"South Bend, Indiana, US",14/07/1914,July,1914,JPG,,,,,n
SB_News_Times_July_17_1914,104,SB_News_Times_July_17_1914.jpg,South Bend News Times,"South Bend, Indiana, US",17/07/1914,July,1914,JPG,,,,,n
SB_News_Times_July_17_1914,105,SB_News_Times_July_17_1914.jpg,South Bend News Times,"South Bend, Indiana, US",17/07/1914,July,1914,JPG,,,,,n
SB_News_Times_July_18_1920,106,SB_News_Times_July_18_1920.jpg,South Bend News Times,"South Bend, Indiana, US",18/07/1920,July,1920,JPG,,,,,n
SB_News_Times_July_18_1920,107,SB_News_Times_July_18_1920.jpg,South Bend News Times,"South Bend, Indiana, US",18/07/1920,July,1920,JPG,,,,,n
SB_News_Times_July_25_1920,108,SB_News_Times_July_25_1920.jpg,South Bend News Times,"South Bend, Indiana, US",25/07/1920,July,1920,JPG,,"Studebaker, Dodge, Hoosier Creams ",y,y,y
SB_News_Times_July_25_1920,109,SB_News_Times_July_25_1920.jpg,South Bend News Times,"South Bend, Indiana, US",25/07/1920,July,1920,JPG,,,,,n
SB_News_Times_July_25_1920,110,SB_News_Times_July_25_1920.jpg,South Bend News Times,"South Bend, Indiana, US",25/07/1920,July,1920,JPG,,,,,n
SB_News_Times_July_27_1921,111,SB_News_Times_July_27_1921.jpg,South Bend News Times,"South Bend, Indiana, US",27/07/1921,July,1921,JPG,,,,,n
SB_News_Times_July_27_1921,112,SB_News_Times_July_27_1921.jpg,South Bend News Times,"South Bend, Indiana, US",27/07/1921,July,1921,JPG,,,,,n
SB_News_Times_July_9_1914,113,SB_News_Times_July_9_1914.jpg,South Bend News Times,"South Bend, Indiana, US",09/07/1914,July,1914,JPG,"""President Dailey of the Factory League""",Mishawaka Ball Bands and South Bend,n,n,y
SB_News_Times_July_9_1914,114,SB_News_Times_July_9_1914.jpg,South Bend News Times,"South Bend, Indiana, US",09/07/1914,July,1914,JPG,,,,,n
SB_News_Times_July_9_1914,115,SB_News_Times_July_9_1914.jpg,South Bend News Times,"South Bend, Indiana, US",09/07/1914,July,1914,JPG,,,,,n
SB_News_Times_July_y_25_1913_pg10,116,SB_News_Times_July_y_25_1913_pg10.jpg,South Bend News Times,"South Bend, Indiana, US",25/07/1913,July,1913,JPG,Pg. 10,,,,n
SB_News_Times_July_y_25_1913_pg10,117,SB_News_Times_July_y_25_1913_pg10.jpg,South Bend News Times,"South Bend, Indiana, US",25/07/1913,July,1913,JPG,Pg. 10,,,,n
SB_News_Times_July_y_25_1913_pg10,118,SB_News_Times_July_y_25_1913_pg10.jpg,South Bend News Times,"South Bend, Indiana, US",25/07/1913,July,1913,JPG,Pg. 10,,,,n
SB_News_Times_July_y_25_1913_pg10,119,SB_News_Times_July_y_25_1913_pg10.jpg,South Bend News Times,"South Bend, Indiana, US",25/07/1913,July,1913,JPG,Pg. 10,,,,n
SB_News_Times_July_y_25_1913_pg6,120,SB_News_Times_July_y_25_1913_pg6.jpg,South Bend News Times,"South Bend, Indiana, US",25/07/1913,July,1913,JPG,Pg. 6,,,,n
SB_News_Times_July_y_25_1913_pg6,121,SB_News_Times_July_y_25_1913_pg6.jpg,South Bend News Times,"South Bend, Indiana, US",25/07/1913,July,1913,JPG,Pg. 6,,,,n
SB_News_Times_July_y_25_1913_pg6,122,SB_News_Times_July_y_25_1913_pg6.jpg,South Bend News Times,"South Bend, Indiana, US",25/07/1913,July,1913,JPG,Pg. 6,,,,n
SB_News_Times_July_y_25_1913_pg6,123,SB_News_Times_July_y_25_1913_pg6.jpg,South Bend News Times,"South Bend, Indiana, US",25/07/1913,July,1913,JPG,Pg. 6,,,,n
SB_News_Times_June_03_1922,124,SB_News_Times_June_03_1922.jpg,South Bend News Times,"South Bend, Indiana, US",03/06/1922,June,1922,JPG,,,,,n
SB_News_Times_June_03_1922,125,SB_News_Times_June_03_1922.jpg,South Bend News Times,"South Bend, Indiana, US",03/06/1922,June,1922,JPG,,,,,n
SB_News_Times_June_18_1922,126,SB_News_Times_June_18_1922.jpg,South Bend News Times,"South Bend, Indiana, US",18/06/1922,June,1922,JPG,,,,,n
SB_News_Times_June_18_1922,127,SB_News_Times_June_18_1922.jpg,South Bend News Times,"South Bend, Indiana, US",18/06/1922,June,1922,JPG,,,,,n
SB_News_Times_June_23_1922,128,SB_News_Times_June_23_1922.jpg,South Bend News Times,"South Bend, Indiana, US",23/06/1922,June,1922,JPG,,,,,n
SB_News_Times_June_23_1922,129,SB_News_Times_June_23_1922.jpg,South Bend News Times,"South Bend, Indiana, US",23/06/1922,June,1922,JPG,,,,,n
SB_News_Times_June_24_1917,130,SB_News_Times_June_24_1917.jpg,South Bend News Times,"South Bend, Indiana, US",24/06/1917,June,1917,JPG,,,,,n
SB_News_Times_June_24_1917,131,SB_News_Times_June_24_1917.jpg,South Bend News Times,"South Bend, Indiana, US",24/06/1917,June,1917,JPG,,,,,n
SB_News_Times_March_04_1920,132,SB_News_Times_March_04_1920.jpg,South Bend News Times,"South Bend, Indiana, US",04/03/1920,March,1920,JPG,,,,,n
SB_News_Times_March_04_1920,133,SB_News_Times_March_04_1920.jpg,South Bend News Times,"South Bend, Indiana, US",04/03/1920,March,1920,JPG,,,,,n
SB_News_Times_March_11_1919,134,SB_News_Times_March_11_1919.jpg,South Bend News Times,"South Bend, Indiana, US",11/03/1919,March,1919,JPG,,"Studebaker Nine, Wilson Brothers Team ",n,y,y
SB_News_Times_March_11_1919,135,SB_News_Times_March_11_1919.jpg,South Bend News Times,"South Bend, Indiana, US",11/03/1919,March,1919,JPG,,,,,n
SB_News_Times_March_11_1919,136,SB_News_Times_March_11_1919.jpg,South Bend News Times,"South Bend, Indiana, US",11/03/1919,March,1919,JPG,,,,,n
SB_News_Times_March_17_1914,137,SB_News_Times_March_17_1914.jpg,South Bend News Times,"South Bend, Indiana, US",17/03/1914,March,1914,JPG,,,,,n
SB_News_Times_March_17_1914,138,SB_News_Times_March_17_1914.jpg,South Bend News Times,"South Bend, Indiana, US",17/03/1914,March,1914,JPG,,,,,n
