pid,file_name,label,location,_date,month_str,year,type,notes,teams,game_info,player_info,inventoried
SB_News_Times_September_12_1919,SB_News_Times_September_12_1919.jpg,South Bend News Times,"South Bend, Indiana, US",12/9/1919,September,1919,JPG,,,,,n
SB_News_Times_September_18_1919,SB_News_Times_September_18_1919.jpg,South Bend News Times,"South Bend, Indiana, US",18/09/1919,September,1919,JPG,,,,,n
SB_News_Times_September_19_1916,SB_News_Times_September_19_1916.jpg,South Bend News Times,"South Bend, Indiana, US",19/09/1916,September,1916,JPG,,,,,n
SB_News_Times_September_26_1927,SB_News_Times_September_26_1927.jpg,South Bend News Times,"South Bend, Indiana, US",26/09/1927,September,1927,JPG,,,,,n
SB_Tribune_April_11_1903_(1),SB_Tribune_April_11_1903_(1).jpg,South Bend Tribune,"South Bend, Indiana, US",11/4/1903,April,1903,JPG,,,,,n
SB_Tribune_April_11_1903,SB_Tribune_April_11_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",11/4/1903,April,1903,JPG,,,,,n
SB_Tribune_April_11_1910,SB_Tribune_April_11_1910.jpg,South Bend Tribune,"South Bend, Indiana, US",11/4/1910,April,1910,JPG,,,,,n
SB_Tribune_April_13_1903,SB_Tribune_April_13_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",13/04/1903,April,1903,JPG,,,,,n
SB_Tribune_April_13_1904,SB_Tribune_April_13_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",13/04/1904,April,1904,JPG,,,,,n
SB_Tribune_April_14_1902,SB_Tribune_April_14_1902.jpg,South Bend Tribune,"South Bend, Indiana, US",14/04/1902,April,1902,JPG,"Mentions game played between Chicago American League team and ND collegiate team; also includes regional baseball scores (Iowa, Indiana, Michigan, Illinois); mentions Greens players going to Battle Creek, Tribune mentioning they're going to do more covering local baseball teams (request for teams to send info)","Notre Dame, Chicago American league team",n,y,y
SB_Tribune_April_14_1903,SB_Tribune_April_14_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",14/04/1903,April,1903,JPG,,,,,n
SB_Tribune_April_15_1902,SB_Tribune_April_15_1902.jpg,South Bend Tribune,"South Bend, Indiana, US",15/04/1902,April,1902,JPG,"Mentions game played between Chicago American League team and ND collegiate team; also includes regional baseball scores (Iowa, Indiana, Michigan, Illinois); mentions Greens players going to Battle Creek, Tribune mentioning they're going to do more covering local baseball teams (request for teams to send info)","Notre Dame, Chicago American league team",y,y,y
SB_Tribune_April_15_1903,SB_Tribune_April_15_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",15/04/1903,April,1903,JPG,,,,,n
SB_Tribune_April_15_1904,SB_Tribune_April_15_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",15/04/1904,April,1904,JPG,"Discusses game played between ND collegiate team and South Bend local team, includes photo of Terre Haute team","Notre Dame, South Bend, Terre Haute",y,y,y
SB_Tribune_April_16_1902,SB_Tribune_April_16_1902.jpg,South Bend Tribune,"South Bend, Indiana, US",16/04/1902,April,1902,JPG,"Mentions game played between Chicago American League team and ND collegiate team; also includes regional baseball scores (Iowa, Indiana, Michigan, Illinois); mentions Greens players going to Battle Creek, Tribune mentioning they're going to do more covering local baseball teams (request for teams to send info)","Notre Dame, Chicago American league team",y,y,y
SB_Tribune_April_16_1904,SB_Tribune_April_16_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",16/04/1904,April,1904,JPG,"Mentions game played between ND, South Bend local team, Grand Rapids team","Notre Dame, South Bend, Grand Rapids",y,y,y
SB_Tribune_April_21_1899,SB_Tribune_April_21_1899.jpg,South Bend Tribune,"South Bend, Indiana, US",21/04/1899,April,1899,JPG,"Discusses game played between ND collegiate team and South Bend local team, includes photo of Terre Haute team","Notre Dame, South Bend",y,y,y
SB_Tribune_April_22_1903,SB_Tribune_April_22_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",22/04/1903,April,1903,JPG,,"Notre Dame, Purdue, South Bend Greens",y,y,y
SB_Tribune_April_23_1903,SB_Tribune_April_23_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",23/04/1903,April,1903,JPG,,,,,n
SB_Tribune_April_24_1902,SB_Tribune_April_24_1902.jpg,South Bend Tribune,"South Bend, Indiana, US",24/04/1902,April,1902,JPG,,,,,n
SB_Tribune_April_24_1903,SB_Tribune_April_24_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",24/04/1903,April,1903,JPG,,,,,n
SB_Tribune_April_25_1903_(1),SB_Tribune_April_25_1903_(1).jpg,South Bend Tribune,"South Bend, Indiana, US",25/04/1903,April,1903,JPG,,,,,n
SB_Tribune_April_25_1903,SB_Tribune_April_25_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",25/04/1903,April,1903,JPG,,,,,n
SB_Tribune_April_26_1902,SB_Tribune_April_26_1902.jpg,South Bend Tribune,"South Bend, Indiana, US",26/04/1902,April,1902,JPG,,,,,n
SB_Tribune_April_27_1903_(1),SB_Tribune_April_27_1903_(1).jpg,South Bend Tribune,"South Bend, Indiana, US",27/04/1903,April,1903,JPG,,,,,n
SB_Tribune_April_27_1903,SB_Tribune_April_27_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",27/04/1903,April,1903,JPG,,,,,n
SB_Tribune_April_28_1902,SB_Tribune_April_28_1902.jpg,South Bend Tribune,"South Bend, Indiana, US",28/04/1902,April,1902,JPG,,,,,n
SB_Tribune_April_28_1903,SB_Tribune_April_28_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",28/04/1903,April,1903,JPG,,,,,n
SB_Tribune_April_29_1899,SB_Tribune_April_29_1899.jpg,South Bend Tribune,"South Bend, Indiana, US",29/04/1899,April,1899,JPG,,,,,n
SB_Tribune_April_29_1903,SB_Tribune_April_29_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",29/04/1903,April,1903,JPG,,,,,n
SB_Tribune_April_3_1903,SB_Tribune_April_3_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",3/4/1903,April,1903,JPG,Mentions Saturday meeting for Christian Association members interested in baseball team,YMCA team,n,n,y
SB_Tribune_April_4_1902,SB_Tribune_April_4_1902.jpg,South Bend Tribune,"South Bend, Indiana, US",4/4/1902,April,1902,JPG,,,,,n
SB_Tribune_April_4_1903,SB_Tribune_April_4_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",4/4/1903,April,1903,JPG,Mentions game between Chapin Parks and ND Minims (score 22-21),"Chapin Parks of South Bend, Notre Dame Minims",y,n,y
SB_Tribune_April_7_1902,SB_Tribune_April_7_1902.jpg,South Bend Tribune,"South Bend, Indiana, US",7/4/1902,April,1902,JPG,"Discusses game played between ND collegiate team and ""South Bend Hubs"" (which included players from Greens and other local players); ND won 23-4","Notre Dame, South Bend Hubs, Greens",y,y,y
SB_Tribune_April_7_1911,SB_Tribune_April_7_1911.jpg,South Bend Tribune,"South Bend, Indiana, US",7/4/1911,April,1911,JPG,,,,,n
SB_Tribune_April_9_1904,SB_Tribune_April_9_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",9/4/1904,April,1904,JPG,,,,,n
SB_Tribune_April_9_1992,SB_Tribune_April_9_1992.jpg,South Bend Tribune,"South Bend, Indiana, US",9/4/1992,April,1992,JPG,,,,,n
